Run,Rep,ID,Cultivar,Measurement ,Lesion 
1,4,415,Dwight,3,85.07
5,1,101,386-14-1,1,62.04
5,1,102,51-23,1,28.065
5,1,103,1212R2X,1,12.26
5,1,104,LS1172LLN,1,5.45
5,1,105,386-48-3,1,24.13666667
5,1,106,386-56-1,1,18.9
5,1,107,52-82B,1,26.47
5,1,108,386-61-3,1,52.27333333
5,1,109,WS16-9138,1,7.123333333
5,1,110,LS23X6632n,1,.
5,1,111,W82,1,36.425
5,1,112,SSR51-70,1,6.853333333
5,1,113,3115L,1,33.58333333
5,1,114,Dwight,1,67.66
5,1,115,386-62-1,1,60.35666667
5,2,201,386-62-1,1,66.82
5,2,202,LS23X6632n,1,.
5,2,203,386-61-3,1,7.98
5,2,204,W82,1,49.54333333
5,2,205,Dwight,1,19.5
5,2,206,386-14-1,1,12.07
5,2,207,SSR51-70,1,14.165
5,2,208,1212R2X,1,24.61
5,2,209,3115L,1,8.383333333
5,2,210,52-82B,1,10.57666667
5,2,211,WS16-9138,1,53.94
5,2,212,386-56-1,1,43.31
5,2,213,386-48-3,1,46.96666667
5,2,214,51-23,1,8.265
5,2,215,LS1172LLN,1,42.2
5,3,301,W82,1,57.39666667
5,3,302,386-62-1,1,41.49
5,3,303,52-82B,1,8.556666667
5,3,304,386-48-3,1,62.09
5,3,305,3115L,1,53.09666667
5,3,306,Dwight,1,49.89333333
5,3,307,LS23X6632n,1,.
5,3,308,51-23,1,12.33333333
5,3,309,386-56-1,1,4
5,3,310,1212R2X,1,10.5
5,3,311,386-14-1,1,69.35
5,3,312,386-61-3,1,33.33666667
5,3,313,LS1172LLN,1,79.06
5,3,314,WS16-9138,1,8.685
5,3,315,SSR51-70,1,6.446666667
5,4,401,SSR51-70,1,25.78
5,4,402,386-56-1,1,89.54
5,4,403,386-14-1,1,67.525
5,4,404,3115L,1,25.79333333
5,4,405,LS23X6632n,1,.
5,4,406,386-61-3,1,45.50666667
5,4,407,Dwight,1,59.605
5,4,408,386-62-1,1,67.47333333
5,4,409,386-48-3,1,33.2
5,4,410,LS1172LLN,1,23.83666667
5,4,411,51-23,1,10.47
5,4,412,WS16-9138,1,12.06666667
5,4,413,1212R2X,1,10.1
5,4,414,52-82B,1,10.01666667
5,4,415,W82,1,37.95333333
